"uid","condition","px2mm","squarePosition","avgBallPos","viewDistance","real_distance","error","screen"
1,1,5.05,822.94,217.026,499.93,431.8,68.13,13
2,1,5.05,822.94,329.744,406.93,431.8,-24.87,13
4,1,5.15,840.82,295.296,441.36,431.8,9.56,13
5,1,5.05,822.94,212.848,503.38,431.8,71.58,13
6,1,5.15,840.82,202.782,516.21,431.8,84.41,13
7,1,5.05,822.94,197.432,516.1,431.8,84.3,13
8,1,5.15,840.82,221.878,500.76,431.8,68.96,13
9,1,5.05,822.94,258.998,465.3,431.8,33.5,13
10,1,5.15,840.82,301.978,435.96,431.8,4.16,13
11,1,5.15,840.82,316.676,424.06,431.8,-7.74,13
12,1,5.05,822.94,244.084,477.6,431.8,45.8,13
1,2,5.15,840.82,165.142,546.67,533.4,-12.13,13
2,2,5.05,822.94,221.834,495.96,533.4,-62.84,13
4,2,5.15,840.82,244.024,482.84,533.4,-75.96,13
5,2,5.05,822.94,83.582,610.03,533.4,51.23,13
6,2,5.15,840.82,106.346,594.23,533.4,35.43,13
7,2,5.05,822.94,117.968,581.66,533.4,22.86,13
8,2,5.15,840.82,103.222,596.76,533.4,37.96,13
9,2,5.15,840.82,125.262,578.93,533.4,20.13,13
10,2,5.15,840.82,197.752,520.28,533.4,-38.52,13
11,2,5.15,840.82,168.804,543.7,533.4,-15.1,13
12,2,5.15,840.82,130.456,574.73,533.4,15.93,13
1,3,4.94,805.07,33.325,650.93,660.4,-9.47,13
2,3,5.05,822.94,,,660.4,,13
4,3,5.05,822.94,82.598,610.84,660.4,-49.56,13
5,3,5.05,822.94,22.06333333,660.79,660.4,0.39,13
6,3,5.15,840.82,44.292,644.44,660.4,-15.96,13
7,3,5.05,822.94,39.34,646.53,660.4,-13.87,13
8,3,5.15,840.82,44.50333333,644.27,660.4,-16.13,13
9,3,5.15,840.82,24.46,660.49,660.4,0.09,13
10,3,5.15,840.82,86.796,610.05,660.4,-50.35,13
11,3,5.15,840.82,94.632,603.71,660.4,-56.69,13
12,3,5.15,840.82,57.94,633.4,660.4,-27,13
1,4,3.79,608.46,183.902,466.75,431.8,34.95,23
2,4,3.79,608.46,233.078,412.69,431.8,-19.11,23
4,4,3.89,626.33,247.944,405.3,431.8,-26.5,23
5,4,3.79,608.46,185.588,464.9,431.8,33.1,23
6,4,3.68,590.58,187.242,456.68,431.8,24.88,23
7,4,3.79,608.46,199.31,449.81,431.8,18.01,23
8,4,3.89,626.33,195.894,461.05,431.8,29.25,23
9,4,3.79,608.46,184.352,466.26,431.8,34.46,23
10,4,3.89,626.33,241.268,412.45,431.8,-19.35,23
11,4,3.79,608.46,207.112,441.24,431.8,9.44,23
12,4,3.89,626.33,214.372,441.26,431.8,9.46,23
1,5,3.68,590.58,101.074,554.24,533.4,-4.56,23
2,5,3.79,608.46,133.338,522.34,533.4,-36.46,23
4,5,3.89,626.33,131.058,530.5,533.4,-28.3,23
5,5,3.79,608.46,121.766,535.06,533.4,-23.74,23
6,5,3.79,608.46,113.902,543.71,533.4,-15.09,23
7,5,3.79,608.46,120.894,536.02,533.4,-22.78,23
8,5,3.79,608.46,128.628,527.52,533.4,-31.28,23
9,5,3.89,626.33,78.32,586.99,533.4,28.19,23
10,5,3.89,626.33,174.75,483.7,533.4,-75.1,23
11,5,3.79,608.46,122.528,534.23,533.4,-24.57,23
12,5,3.89,626.33,115.616,547.04,533.4,-11.76,23
1,6,3.57,572.71,25.705,638.43,660.4,-21.97,23
2,6,3.79,608.46,44.118,620.43,660.4,-39.97,23
4,6,3.79,608.46,65.532,596.89,660.4,-63.51,23
5,6,3.79,608.46,40.888,623.98,660.4,-36.42,23
6,6,3.79,608.46,39.8325,625.14,660.4,-35.26,23
7,6,3.79,608.46,44.882,619.59,660.4,-40.81,23
8,6,3.79,608.46,35.285,630.14,660.4,-30.26,23
9,6,3.89,626.33,30.3075,638.41,660.4,-21.99,23
10,6,3.89,626.33,102.408,561.18,660.4,-99.22,23
11,6,3.79,608.46,55.022,608.44,660.4,-51.96,23
12,6,3.89,626.33,45.316,622.34,660.4,-38.06,23
